id,date,domain,srrank,traffic,unique_year_month
940,2023-08-15,peterwynmosey.com,3723445,1,2023-08
941,2023-09-15,peterwynmosey.com,13746839,0,2023-09
942,2023-10-15,peterwynmosey.com,7775541,0,2023-10
943,2023-11-15,peterwynmosey.com,17283945,0,2023-11
944,2023-12-15,peterwynmosey.com,11291651,0,2023-12
945,2023-01-15,felifamily.com,13230454,0,2023-01
946,2023-02-15,felifamily.com,19401531,0,2023-02
947,2023-03-15,felifamily.com,3595399,2,2023-03
948,2023-04-15,felifamily.com,17627624,0,2023-04
949,2023-05-15,felifamily.com,19313304,0,2023-05
950,2023-06-15,felifamily.com,17718622,0,2023-06
951,2023-07-15,felifamily.com,18133590,0,2023-07
952,2023-08-15,felifamily.com,3554972,1,2023-08
953,2023-09-15,felifamily.com,17374918,0,2023-09
954,2023-10-15,felifamily.com,3739173,1,2023-10
955,2023-11-15,felifamily.com,11357501,0,2023-11
956,2023-12-15,felifamily.com,7353853,0,2023-12
957,2023-01-15,annabelwrites.com,18076711,0,2023-01
958,2023-02-15,annabelwrites.com,12541177,0,2023-02
959,2023-03-15,annabelwrites.com,12591222,0,2023-03
960,2023-04-15,annabelwrites.com,14426409,0,2023-04
961,2023-05-15,annabelwrites.com,10330509,0,2023-05
962,2023-06-15,annabelwrites.com,14501017,0,2023-06
963,2023-07-15,annabelwrites.com,6540775,0,2023-07
964,2023-08-15,annabelwrites.com,14545878,0,2023-08
965,2023-09-15,annabelwrites.com,16113189,0,2023-09
966,2023-10-15,annabelwrites.com,15832798,0,2023-10
967,2023-11-15,annabelwrites.com,12029209,0,2023-11
968,2023-12-15,annabelwrites.com,17215127,0,2023-12
969,2023-01-15,rawrhubarb.co.uk,2140532,13,2023-01
970,2023-02-15,rawrhubarb.co.uk,2664090,6,2023-02
971,2023-03-15,rawrhubarb.co.uk,1995567,15,2023-03
972,2023-04-15,rawrhubarb.co.uk,2542753,5,2023-04
973,2023-05-15,rawrhubarb.co.uk,2398436,6,2023-05
974,2023-06-15,rawrhubarb.co.uk,2416504,7,2023-06
975,2023-07-15,rawrhubarb.co.uk,2612879,5,2023-07
976,2023-08-15,rawrhubarb.co.uk,1858477,16,2023-08
977,2023-09-15,rawrhubarb.co.uk,2567932,5,2023-09
978,2023-10-15,rawrhubarb.co.uk,2889463,3,2023-10
979,2023-11-15,rawrhubarb.co.uk,1835338,17,2023-11
980,2023-12-15,rawrhubarb.co.uk,1940412,14,2023-12
981,2023-01-15,alifeoflovely.com,2007059,16,2023-01
982,2023-02-15,alifeoflovely.com,2576319,7,2023-02
983,2023-03-15,alifeoflovely.com,1705060,25,2023-03
984,2023-04-15,alifeoflovely.com,2211246,9,2023-04
985,2023-05-15,alifeoflovely.com,2119815,10,2023-05
986,2023-06-15,alifeoflovely.com,2445619,6,2023-06
987,2023-07-15,alifeoflovely.com,2057129,11,2023-07
988,2023-08-15,alifeoflovely.com,2346786,7,2023-08
989,2023-09-15,alifeoflovely.com,2021928,12,2023-09
990,2023-10-15,alifeoflovely.com,2130033,10,2023-10
991,2023-11-15,alifeoflovely.com,1371208,42,2023-11
992,2023-12-15,alifeoflovely.com,1452669,34,2023-12
993,2023-01-15,mmbmagazine.co.uk,1267853,62,2023-01
994,2023-02-15,mmbmagazine.co.uk,1396749,48,2023-02
995,2023-03-15,mmbmagazine.co.uk,1029349,95,2023-03
996,2023-04-15,mmbmagazine.co.uk,1237998,56,2023-04
1002,2023-05-15,mmbmagazine.co.uk,951653,98,2023-05
1003,2023-06-15,mmbmagazine.co.uk,923910,106,2023-06
1004,2023-07-15,mmbmagazine.co.uk,884618,116,2023-07
1005,2023-08-15,mmbmagazine.co.uk,996744,91,2023-08
1006,2023-09-15,mmbmagazine.co.uk,659390,195,2023-09
1007,2023-10-15,mmbmagazine.co.uk,508189,316,2023-10
1008,2023-11-15,mmbmagazine.co.uk,540262,289,2023-11
1009,2023-12-15,mmbmagazine.co.uk,383640,491,2023-12
1010,2023-01-15,slashercareer.com,13576238,0,2023-01
1011,2023-02-15,slashercareer.com,10263487,0,2023-02
1012,2023-03-15,slashercareer.com,19846501,0,2023-03
1013,2023-04-15,slashercareer.com,19905380,0,2023-04
1014,2023-05-15,slashercareer.com,15692047,0,2023-05
1015,2023-06-15,slashercareer.com,3373988,2,2023-06
1016,2023-07-15,slashercareer.com,18442304,0,2023-07
1017,2023-08-15,slashercareer.com,3878326,1,2023-08
1018,2023-09-15,slashercareer.com,15721266,0,2023-09
1019,2023-10-15,slashercareer.com,3337718,2,2023-10
1020,2023-11-15,slashercareer.com,9736894,0,2023-11
1021,2023-12-15,slashercareer.com,0,0,2023-12
1052,2023-01-15,thejournalix.com,854825,142,2023-01
1053,2023-02-15,thejournalix.com,1216256,70,2023-02
1054,2023-03-15,thejournalix.com,896367,127,2023-03
1055,2023-04-15,thejournalix.com,1146359,67,2023-04
1056,2023-05-15,thejournalix.com,1362784,42,2023-05
1057,2023-06-15,thejournalix.com,1321082,46,2023-06
1058,2023-07-15,thejournalix.com,1460618,35,2023-07
1059,2023-08-15,thejournalix.com,1006618,89,2023-08
1060,2023-09-15,thejournalix.com,1527834,30,2023-09
1061,2023-10-15,thejournalix.com,1517680,31,2023-10
1062,2023-11-15,thejournalix.com,1378781,41,2023-11
1063,2023-12-15,thejournalix.com,1311212,45,2023-12
1064,2023-01-15,newvalleynews.co.uk,131464,2602,2023-01
1065,2023-02-15,newvalleynews.co.uk,134028,2551,2023-02
1066,2023-03-15,newvalleynews.co.uk,143986,2289,2023-03
1067,2023-04-15,newvalleynews.co.uk,121906,2518,2023-04
1068,2023-05-15,newvalleynews.co.uk,118757,2563,2023-05
1069,2023-06-15,newvalleynews.co.uk,113132,2714,2023-06
1070,2023-07-15,newvalleynews.co.uk,118660,2545,2023-07
1071,2023-08-15,newvalleynews.co.uk,128021,2330,2023-08
1072,2023-09-15,newvalleynews.co.uk,126095,2346,2023-09
1073,2023-10-15,newvalleynews.co.uk,155000,1814,2023-10
1074,2023-11-15,newvalleynews.co.uk,176285,1557,2023-11
1075,2023-12-15,newvalleynews.co.uk,173151,1572,2023-12
1076,2023-01-15,jenloumeredith.com,1904613,19,2023-01
1077,2023-02-15,jenloumeredith.com,2127681,14,2023-02
1078,2023-03-15,jenloumeredith.com,1938363,17,2023-03
1079,2023-04-15,jenloumeredith.com,2100897,11,2023-04
1080,2023-05-15,jenloumeredith.com,8854230,0,2023-05
1081,2023-06-15,jenloumeredith.com,2927694,3,2023-06
1082,2023-07-15,jenloumeredith.com,3619064,1,2023-07
1083,2023-08-15,jenloumeredith.com,0,0,2023-08
1084,2023-09-15,jenloumeredith.com,0,0,2023-09
1085,2023-10-15,jenloumeredith.com,0,0,2023-10
1086,2023-11-15,jenloumeredith.com,0,0,2023-11
1087,2023-12-15,jenloumeredith.com,0,0,2023-12
1088,2023-01-15,morningbusinesschat.com,1817434,22,2023-01
1089,2023-02-15,morningbusinesschat.com,2000565,17,2023-02
1090,2023-03-15,morningbusinesschat.com,1907459,17,2023-03
1091,2023-04-15,morningbusinesschat.com,1821424,17,2023-04
1092,2023-05-15,morningbusinesschat.com,1798612,17,2023-05
1093,2023-06-15,morningbusinesschat.com,1831244,17,2023-06
1094,2023-07-15,morningbusinesschat.com,1826873,17,2023-07
1095,2023-08-15,morningbusinesschat.com,1846784,17,2023-08
1096,2023-09-15,morningbusinesschat.com,1727645,20,2023-09
1097,2023-10-15,morningbusinesschat.com,2004102,12,2023-10
1098,2023-11-15,morningbusinesschat.com,2016731,12,2023-11
1099,2023-12-15,morningbusinesschat.com,9233049,0,2023-12
1100,2023-01-15,practicalfrugality.com,979453,109,2023-01
1101,2023-02-15,practicalfrugality.com,978446,110,2023-02
1102,2023-03-15,practicalfrugality.com,1148381,75,2023-03
1103,2023-04-15,practicalfrugality.com,883957,116,2023-04
1104,2023-05-15,practicalfrugality.com,896359,113,2023-05
1105,2023-06-15,practicalfrugality.com,1082821,76,2023-06
1106,2023-07-15,practicalfrugality.com,1477430,34,2023-07
1107,2023-08-15,practicalfrugality.com,1273367,52,2023-08
1108,2023-09-15,practicalfrugality.com,1496652,32,2023-09
1109,2023-10-15,practicalfrugality.com,1421962,38,2023-10
1110,2023-11-15,practicalfrugality.com,3222453,2,2023-11
1111,2023-12-15,practicalfrugality.com,3190202,2,2023-12
1112,2023-01-15,peggymay.co.uk,2019284,16,2023-01
1113,2023-02-15,peggymay.co.uk,1655700,30,2023-02
1114,2023-03-15,peggymay.co.uk,2082010,13,2023-03
1115,2023-04-15,peggymay.co.uk,3831317,1,2023-04
1116,2023-05-15,peggymay.co.uk,7039597,0,2023-05
1117,2023-06-15,peggymay.co.uk,4009445,1,2023-06
1118,2023-07-15,peggymay.co.uk,1904660,15,2023-07
1119,2023-08-15,peggymay.co.uk,11219781,0,2023-08
1120,2023-09-15,peggymay.co.uk,1616021,25,2023-09
1121,2023-10-15,peggymay.co.uk,3067048,2,2023-10
1122,2023-11-15,peggymay.co.uk,3744743,1,2023-11
1123,2023-12-15,peggymay.co.uk,17807247,0,2023-12
1124,2023-01-15,clairemorandesigns.co.uk,587300,284,2023-01
1125,2023-02-15,clairemorandesigns.co.uk,582532,290,2023-02
1126,2023-03-15,clairemorandesigns.co.uk,752034,178,2023-03
1127,2023-04-15,clairemorandesigns.co.uk,1250290,54,2023-04
1128,2023-05-15,clairemorandesigns.co.uk,1202729,58,2023-05
1129,2023-06-15,clairemorandesigns.co.uk,1142044,67,2023-06
1130,2023-07-15,clairemorandesigns.co.uk,1306830,47,2023-07
1131,2023-08-15,clairemorandesigns.co.uk,1212659,58,2023-08
1132,2023-09-15,clairemorandesigns.co.uk,1334857,44,2023-09
1133,2023-10-15,clairemorandesigns.co.uk,1454053,35,2023-10
1134,2023-11-15,clairemorandesigns.co.uk,850101,127,2023-11
1135,2023-12-15,clairemorandesigns.co.uk,768270,147,2023-12
1136,2023-01-15,itsmechrissyj.co.uk,444022,453,2023-01
1137,2023-02-15,itsmechrissyj.co.uk,506677,368,2023-02
1138,2023-03-15,itsmechrissyj.co.uk,262842,995,2023-03
1139,2023-04-15,itsmechrissyj.co.uk,333119,620,2023-04
1140,2023-05-15,itsmechrissyj.co.uk,347072,577,2023-05
1141,2023-06-15,itsmechrissyj.co.uk,302477,708,2023-06
1142,2023-07-15,itsmechrissyj.co.uk,365207,529,2023-07
1143,2023-08-15,itsmechrissyj.co.uk,438785,401,2023-08
1144,2023-09-15,itsmechrissyj.co.uk,519884,296,2023-09
1145,2023-10-15,itsmechrissyj.co.uk,634807,217,2023-10
1146,2023-11-15,itsmechrissyj.co.uk,547478,282,2023-11
1147,2023-12-15,itsmechrissyj.co.uk,606583,228,2023-12
1148,2023-01-15,thriftychap.com,275379,944,2023-01
1149,2023-02-15,thriftychap.com,288288,887,2023-02
1150,2023-03-15,thriftychap.com,274711,932,2023-03
1151,2023-04-15,thriftychap.com,392245,483,2023-04
1152,2023-05-15,thriftychap.com,474369,352,2023-05
1153,2023-06-15,thriftychap.com,437044,402,2023-06
1154,2023-07-15,thriftychap.com,436300,401,2023-07
1155,2023-08-15,thriftychap.com,320350,652,2023-08
1156,2023-09-15,thriftychap.com,393713,467,2023-09
1157,2023-10-15,thriftychap.com,710329,177,2023-10
1158,2023-11-15,thriftychap.com,697394,184,2023-11
1159,2023-12-15,thriftychap.com,1362225,41,2023-12
1160,2023-01-15,cybergeekgirl.co.uk,2130797,13,2023-01
1161,2023-02-15,cybergeekgirl.co.uk,1441987,44,2023-02
1162,2023-03-15,cybergeekgirl.co.uk,1485650,39,2023-03
1163,2023-04-15,cybergeekgirl.co.uk,1323836,45,2023-04
1164,2023-05-15,cybergeekgirl.co.uk,1262249,52,2023-05
1165,2023-06-15,cybergeekgirl.co.uk,1119135,71,2023-06
1166,2023-07-15,cybergeekgirl.co.uk,1975859,13,2023-07
1167,2023-08-15,cybergeekgirl.co.uk,1786424,18,2023-08
1168,2023-09-15,cybergeekgirl.co.uk,1967379,13,2023-09
1169,2023-10-15,cybergeekgirl.co.uk,1712400,21,2023-10
1170,2023-11-15,cybergeekgirl.co.uk,1272868,53,2023-11
1171,2023-12-15,cybergeekgirl.co.uk,1065052,76,2023-12
1172,2023-01-15,startsmarter.co.uk,1267820,62,2023-01
1173,2023-02-15,startsmarter.co.uk,1219931,69,2023-02
1174,2023-03-15,startsmarter.co.uk,1392428,45,2023-03
